Title,Grape,Location,Rating,Price,Year
Angélica Zapata,malbec,Mendoza,4.6,3700,2015
D.V. Catena,malbec,Mendoza,4.4,2250,2016
Viña Cobos,malbec,Mendoza,4.0,1155,2018
D.V. Catena,malbec,Mendoza,4.3,3200,2012
Viña Cobos,cabernet sauvignon,Mendoza,4.0,1155,2017
El Esteco,malbec,Cafayate Valley,3.7,1620,2018
Angélica Zapata,cabernet sauvignon,Mendoza,4.4,2030,2015
Angélica Zapata,cabernet franc,Mendoza,4.4,1190,2015
Clos de los Siete,other,Mendoza,4.0,1333,2017
Achaval-Ferrer,malbec,Mendoza,4.1,1249,2018
Alma Negra,blend,Mendoza,4.3,1539,2017
Altos Las Hormigas,malbec,Mendoza,3.6,640,2018
Mascota Vineyards,malbec,Mendoza,3.9,960,2018
El Enemigo,bonarda,Mendoza,4.3,2229,2016
Mascota Vineyards,cabernet sauvignon,Mendoza,3.8,905,2018
El Enemigo,malbec,Mendoza,4.4,2069,2017
El Enemigo,cabernet franc,Mendoza,4.4,1800,2017
Angélica Zapata,cabernet franc,Mendoza,4.4,2150,2016
D.V. Catena,other,Mendoza,4.4,1950,2017
Escorihuela Gascón,malbec,Mendoza,4.3,2049,2018
Angélica Zapata,cabernet sauvignon,Mendoza,4.4,1690,2016
Piattelli,malbec,Cafayate Valley,3.9,1200,2017
Viña Cobos,malbec,Lujan de Cuyo,4.4,3199,2018
Viña Cobos,malbec,Mendoza,4.1,1150,2019
Mascota Vineyards,other,Mendoza,4.1,2720,2016
Angélica Zapata,malbec,Mendoza,4.6,3700,2015
D.V. Catena,malbec,Mendoza,4.4,2250,2016
Viña Cobos,malbec,Mendoza,4.0,1155,2018
D.V. Catena,malbec,Mendoza,4.3,3200,2012
Viña Cobos,cabernet sauvignon,Mendoza,4.0,1155,2017
