Title,Grape,Location,Rating,Price
Angélica Zapata,Malbec Alta 2015,Mendoza,4.6,$3700
D.V. Catena,Malbec - Malbec 2016,Mendoza,4.4,$2250
Viña Cobos,Felino Malbec 2018,Mendoza,4.0,$1155
D.V. Catena,Malbec - Malbec 2012,Mendoza,4.3,$3200
Viña Cobos,Felino Cabernet Sauvignon 2017,Mendoza,4.0,$1155
El Esteco,Don David Reserve Malbec 2018,Cafayate Valley,3.7,$1620
Angélica Zapata,Cabernet Sauvignon Alta 2015,Mendoza,4.4,$2030
Angélica Zapata,Cabernet Franc Alta 2015,Mendoza,4.4,$1190
Clos de los Siete,Clos de Los Siete (by Michel Rolland) 2017,Mendoza,4.0,$1333
Achaval-Ferrer,Malbec 2018,Mendoza,4.1,$1249
Alma Negra,M Blend 2017,Mendoza,4.3,$1539
Altos Las Hormigas,Malbec (Clásico) 2018,Mendoza,3.6,$640
Mascota Vineyards,La Mascota Malbec 2018,Mendoza,3.9,$960
El Enemigo,Bonarda 2016,Mendoza,4.3,$2229
Mascota Vineyards,La Mascota Cabernet Sauvignon 2018,Mendoza,3.8,$905
El Enemigo,Malbec 2017,Mendoza,4.4,$2069
El Enemigo,Cabernet Franc 2017,Mendoza,4.4,$1800
Angélica Zapata,Cabernet Franc Alta 2016,Mendoza,4.4,$2150
D.V. Catena,Cabernet - Cabernet 2017,Mendoza,4.4,$1950
Escorihuela Gascón,Pequeñas Producciones Malbec 2018,Mendoza,4.3,$2049
Angélica Zapata,Cabernet Sauvignon Alta 2016,Mendoza,4.4,$1690
Piattelli,Malbec Reserve 2017,Cafayate Valley,3.9,$1200
Viña Cobos,Bramare Malbec Lujan de Cuyo 2018,Lujan de Cuyo,4.4,$3199
Viña Cobos,Felino Malbec 2019,Mendoza,4.1,$1150
Mascota Vineyards,Unánime Gran Vino Tinto 2016,Mendoza,4.1,$2720
Angélica Zapata,Malbec Alta 2015,Mendoza,4.6,$3700
D.V. Catena,Malbec - Malbec 2016,Mendoza,4.4,$2250
Viña Cobos,Felino Malbec 2018,Mendoza,4.0,$1155
D.V. Catena,Malbec - Malbec 2012,Mendoza,4.3,$3200
Viña Cobos,Felino Cabernet Sauvignon 2017,Mendoza,4.0,$1155
